Date, Bed Time, Sleep Onset Time, Ring Time, Wake Time, Time In Bed, Total Sleep Time, Total Awake Time, Sleep Onset Latency, Halfway Awakening, Snooze, Sleep Efficiency
4/24/2014, 11:59 PM, 12:37 AM, 6:00 AM, 7:28 AM, 7h 28m 59s, 5h 24m 59s, 2h 04m 00s, 38m 09s,9,13,72.40%
4/29/2014, 12:20 AM, 1:18 AM, 6:07 AM, 7:10 AM, 6h 50m 12s, 4h 50m 12s, 2h 00m 00s, 58m 28s,4,10,70.70%
5/1/2014, 4:08 AM, 4:23 AM, 6:47 AM, 7:01 AM, 2h 52m 58s, 2h 22m 58s, 30m 00s, 14m 54s,1,2,82.70%
5/1/2014, 11:16 PM, 11:23 PM, 7:21 AM, 8:24 AM, 9h 08m 06s, 8h 00m 06s, 1h 08m 00s, 6m 45s,11,7,87.60%
5/3/2014, 12:37 AM, 1:26 AM, 7:30 AM, 7:31 AM, 6h 53m 43s, 5h 55m 43s, 58m 00s, 48m 41s,1,0,86.00%
5/5/2014, 12:29 AM, 12:49 AM, 6:31 AM, 7:32 AM, 7h 02m 50s, 6h 01m 50s, 1h 01m 00s, 19m 07s,3,9,85.60%
5/10/2014, 1:35 AM, 1:40 AM, 5:37 AM, 6:34 AM, 4h 58m 43s, 4h 01m 43s, 57m 00s, 4m 21s,2,8,80.90%
5/12/2014, 1:56 AM, 2:07 AM, 7:00 AM, 7:24 AM, 5h 28m 33s, 5h 03m 33s, 25m 00s, 11m 58s,0,2,92.40%
5/23/2014, 1:52 AM, 2:09 AM, 6:33 AM, 6:51 AM, 4h 59m 10s, 4h 21m 10s, 38m 00s, 16m 35s,1,1,87.30%
5/23/2014, 10:58 PM, 11:18 PM, 6:59 AM, 7:03 AM, 8h 04m 34s, 7h 41m 34s, 23m 00s, 19m 13s,0,0,95.30%
